ticket,symbol,profit,signal_conf,target_win,is_buy,hold_min,sl_distance,tp_distance,rr_ratio,dollar_risk,m1_scalp,m1_range_aligned,m1_has_pullback,h4_aligned,conqueror_bull,conqueror_bear,conqueror_bonus,channel_breakout,channel_bonus,ema50_bonus,model_m1_scalp,model_silver_ar,model_turtle_soup,model_fx_london,model_slingshot,model_ict,eu_london_breakout,eu_ny_reversion,eu_tight_range,eu_z_score,eu_asian_range_pips,kz_Asian,kz_London,kz_London_NY,kz_London_PM,kz_NY_Open,kz_NY_PM2,kz_Other,asset_Commodity,asset_Forex,asset_Index,regime_HIGH,regime_NORMAL,regime_UNKNOWN,hour_sin,hour_cos,dow_sin,dow_cos
8586111320,XAUUSD,-45.3,0.8,0,1,3.3333333333333335,7.300000000000182,21.779999999999745,2.983561643835507,73.00000000000182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,True,False,0.9659258262890683,-0.25881904510252063,0.5877852522924732,-0.8090169943749473
8586800256,XAUUSD,72.88,0.99,1,0,17.133333333333333,17.039999999999964,43.090000000000146,2.5287558685446148,170.39999999999964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,True,False,-0.9659258262890684,0.2588190451025203,0.5877852522924732,-0.8090169943749473
8587056584,GBPUSD,-23.79,0.717,0,0,3.533333333333333,0.0007100000000002105,0.0021999999999999797,3.0985915492948277,43.310000000012835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,True,False,False,True,False,0.49999999999999994,0.8660254037844387,-0.587785252292473,-0.8090169943749475
8587075585,XAUUSD,96.4,0.77,1,0,4.283333333333333,1.6300000000001091,60.13000000000011,36.88957055214484,65.20000000000437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,False,False,False,True,False,0.49999999999999994,0.8660254037844387,-0.587785252292473,-0.8090169943749475
8587089995,XAUUSD,64.05,0.745,1,0,4.833333333333333,1.6700000000000728,63.1899999999996,37.83832335329153,68.47000000000298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,False,True,False,0.7071067811865476,0.7071067811865476,-0.587785252292473,-0.8090169943749475
8587577963,GBPUSD,0.48,0.932,1,0,19.683333333333334,0.0005800000000000249,0.0018100000000000893,3.1206896551724337,22.040000000000948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,False,False,True,False,1.2246467991473532e-16,-1.0,-0.587785252292473,-0.8090169943749475
8588441140,XAGUSD,-729.6,0.99,0,1,3.2666666666666666,0.7059999999999889,2.1470000000000056,3.0410764872521807,2259.1999999999643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,True,False,False,0.7071067811865476,-0.7071067811865475,-0.9510565162951536,0.30901699437494723
8588908044,XAGUSD,123.0,0.772,1,0,38.4,0.6009999999999991,2.028000000000006,3.374376039933459,300.49999999999955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,-0.9510565162951536,0.30901699437494723
8590706924,XAGUSD,-16.85,0.99,0,0,2.7,0.3359999999999985,0.06900000000000261,0.20535714285715154,16.799999999999926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,True,False,False,-0.5000000000000004,0.8660254037844384,0.9510565162951535,0.30901699437494773
8590812776,XAUUSD,-96.65,0.8999999999999999,0,1,0.65,18.390000000000327,26.609999999999673,1.4469820554648831,91.95000000000164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,0.0,1.0,0.0,1.0
8590850553,XAUUSD,20.66,0.8999999999999999,1,0,7.083333333333333,10.269999999999527,15.680000000000291,1.5267770204480051,10.269999999999527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,0.25881904510252074,0.9659258262890683,0.0,1.0
8590850560,XAGUSD,-17.45,0.89,0,0,3.316666666666667,0.3410000000000082,0.5579999999999927,1.6363636363635758,17.05000000000041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,0.25881904510252074,0.9659258262890683,0.0,1.0
8590873287,XAUUSD,16.53,0.95,1,0,4.166666666666667,12.420000000000073,16.0,1.2882447665056285,12.420000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,0.49999999999999994,0.8660254037844387,0.0,1.0
