ticket,symbol,type,volume,open_price,close_price,profit,open_time,close_time,account_id,model_type,regime
8584564388,EURUSD,SELL,0.76,1.14953,1.14973,-15.2,2026-03-16 15:13:57,2026-03-16 15:17:17,32128474,ICT_STANDARD,NORMAL (TRENDING)
8584625885,XAGUSD,SELL,0.1,80.996,80.725,68.96,2026-03-16 18:31:26,2026-03-17 00:16:08,32128474,ICT_STANDARD,HIGH VOLATILITY (GARCH)
8585028044,XAUUSD,SELL,0.58,5029.64,5030.73,-63.22,2026-03-17 03:21:30,2026-03-17 03:24:46,32128474,ICT_STANDARD,NORMAL (TRENDING)
8585542865,BTCUSD,BUY,0.15,73978.219,73672.09,-45.92,2026-03-17 15:22:41,2026-03-17 15:36:54,32128474,ICT_STANDARD,NORMAL (TRENDING)
8585561086,BTCUSD,BUY,0.15,73975.26,73662.09,-46.98,2026-03-17 15:26:25,2026-03-17 15:36:54,32128474,ICT_STANDARD,NORMAL (TRENDING)
8586111320,XAUUSD,BUY,0.1,5004.56,5000.03,-45.3,2026-03-18 07:44:07,2026-03-18 07:47:27,32128474,ICT_STANDARD,NORMAL (TRENDING)
8586800256,XAUUSD,SELL,0.1,4863.26,4854.15,72.88,2026-03-18 19:15:54,2026-03-18 19:33:02,32128474,ICT_STANDARD,NORMAL (TRENDING)
8587056584,GBPUSD,SELL,0.61,1.32896,1.32935,-23.79,2026-03-19 02:07:33,2026-03-19 02:11:05,32128474,ICT_STANDARD,NORMAL (TRENDING)
8587075585,XAUUSD,SELL,0.4,4861.74,4856.92,96.4,2026-03-19 02:54:44,2026-03-19 02:59:01,32128474,ICT_STANDARD,NORMAL (TRENDING)
8587089995,XAUUSD,SELL,0.41,4864.95,4861.9,64.05,2026-03-19 03:16:45,2026-03-19 03:21:35,32128474,ICT_STANDARD,NORMAL (TRENDING)
